depth,bed
-30.9942652681,0.208372097294
-28.6659641212,0.433639886474
-26.3376629742,0.600504253252
-24.0093618273,0.633341708573
-21.6810606803,0.640902438963
-19.3527595334,0.640641870565
-17.0244583864,0.643325300168
-14.6961572395,0.643070879152
-12.3678560925,0.642280156275
-10.0395549456,0.641090940217
-7.71125379865,0.638814653218
-5.3829526517,0.636265853228
-3.05465150475,0.63487981082
-0.726350357808,0.63887215158
1.60195078914,0.635600439024
3.93025193608,0.634455738844
6.25855308303,0.642745235193
8.58685422998,0.643191889389
10.9151553769,0.637659915028
13.2434565239,0.635799136829
15.5717576708,0.646875783297
17.9000588178,0.647359872135
20.2283599647,0.637052123419
22.5566611117,0.636253721844
24.8849622586,0.64842619398
27.2132634055,0.649064916896
29.5415645525,0.636857437787
31.8698656994,0.632653007892
34.1981668464,0.643390819998
36.5264679933,0.642174151716
38.8547691403,0.634054505884
41.1830702872,0.637487740844
43.5113714342,0.639219478779
45.8396725811,0.635127210948
48.1679737281,0.639893760537
50.496274875,0.644351578363
52.824576022,0.640629571903
55.1528771689,0.63963239984
57.4811783159,0.650033319797
59.8094794628,0.644000736223
62.1377806097,0.638005985549
64.4660817567,0.632869960164
66.7943829036,0.635567725663
69.1226840506,0.640175032925
71.4509851975,0.64657068395
73.7792863445,0.643157793123
76.1075874914,0.636384956234
78.4358886384,0.635849442591
80.7641897853,0.640463677758
83.0924909323,0.636021587704
85.4207920792,0.64277832487
87.7490932262,0.644532803917
90.0773943731,0.652231645032
92.40569552,0.636514882782
94.733996667,0.636106925572
97.0622978139,0.643822827352
99.3905989609,0.652666636538
101.718900108,0.642084604259
104.047201255,0.641672211855
106.375502402,0.647861229764
108.703803549,0.642060405471
111.032104696,0.636249348913
113.360405843,0.640646361749
115.68870699,0.638669387508
118.017008136,0.63603854008
120.345309283,0.642269165028
122.67361043,0.642620916447
125.001911577,0.641495795529
127.330212724,0.647060969896
129.658513871,0.644790942941
131.986815018,0.633804722766
134.315116165,0.637198918546
136.643417312,0.647203366709
138.971718459,0.642077852787
141.300019606,0.630755522537
143.628320753,0.634042522488
145.9566219,0.644551666755
148.284923047,0.644095732358
150.613224194,0.639286621695
152.941525341,0.633877270492
155.269826488,0.64147619101
157.598127635,0.639557781484
159.926428781,0.636682688795
162.254729928,0.633536091555
164.583031075,0.643793101293
166.911332222,0.649268673461
169.239633369,0.642353599806
171.567934516,0.634547355683
173.896235663,0.647505971389
176.22453681,0.642614577376
178.552837957,0.629447398842
180.881139104,0.643423810731
183.209440251,0.646706483022
185.537741398,0.624531612031
187.866042545,0.640317571527
190.194343692,0.667355863806
192.522644839,0.632899042541
194.850945986,0.623222142083
197.179247133,0.663827632598
199.50754828,0.635405221547
201.835849427,0.616522463103
